,Unnamed: 0,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan,index
152,152,28889,F,2013,Baltimore,Newark,14MF,152
153,153,196689,M,2013,Providence,Detroit,19MF,153
154,154,88533,F,2013,Eugene,Charleston,19MF,154
155,155,168635,F,2013,Providence,Newark,19MF,155
156,156,155128,M,2013,New York,Topeka,19MF,156
157,157,130997,M,2013,Baltimore,Fargo,19MF,157
158,158,57287,F,2013,Santa Fe,Fargo,14MF,158
159,159,105427,F,2013,Providence,Newark,19MF,159
160,160,17135,F,2013,Scranton,Indianapolis,19MF,160
161,161,163641,F,2013,Eugene,Scranton,19MF,161
162,162,34668,M,2013,Santa Fe,Nashville,14MF,162
163,163,41291,F,2013,Providence,Newark,19MF,163
164,164,64347,M,2013,Providence,Fargo,19MF,164
165,165,179683,M,2013,New York,Topeka,19MF,165
166,166,39114,M,2013,Eugene,Topeka,19MF,166
167,167,170157,F,2013,Providence,Nashville,14MF,167
168,168,148480,F,2013,Providence,Fargo,14MF,168
169,169,79521,F,2013,Providence,Nashville,14MF,169
170,170,29777,M,2013,Baltimore,Fargo,19MF,170
171,171,192113,M,2013,Providence,Newark,19MF,171
172,172,22384,F,2013,Providence,Newark,19MF,172
173,173,125236,M,2013,Columbus,Nashville,19MF,173
174,174,144664,M,2013,New York,Nashville,19MF,174
175,175,38446,F,2013,Birmingham,Topeka,14MF,175
176,176,8222,F,2013,New Orleans,Nashville,19MF,176
177,177,34087,F,2013,Eugene,Newark,14MF,177
178,178,182730,M,2013,Providence,Newark,19MF,178
179,179,213679,F,2013,Providence,Scranton,19MF,179
180,180,13498,F,2013,Providence,Fargo,19MF,180
181,181,49386,F,2013,New York,Nashville,19MF,181
182,182,192416,F,2013,Providence,Newark,14MF,182
183,183,200422,F,2013,New York,Detroit,19MF,183
184,184,195315,M,2013,Providence,Detroit,19MF,184
185,185,95316,F,2013,New Orleans,Charleston,14MF,185
186,186,136284,M,2013,Eugene,Topeka,19MF,186
187,187,123892,M,2013,Providence,Fargo,14MF,187
188,188,12282,M,2013,Providence,Nashville,19MF,188
189,189,22760,M,2013,Eugene,Indianapolis,19MF,189
190,190,37709,F,2013,Santa Fe,Detroit,,190
191,191,31431,F,2013,Providence,Nashville,19MF,191
192,192,105476,M,2013,New Orleans,Fargo,19MF,192
193,193,81669,M,2013,Providence,Indianapolis,19MF,193
194,194,110603,M,2013,Providence,Topeka,19MF,194
195,195,6987,F,2013,Eugene,Scranton,19MF,195
196,196,89540,M,2013,Eugene,Indianapolis,19MF,196
197,197,195049,F,2013,New Orleans,Nashville,14MF,197
198,198,172952,M,2013,Fargo,Fargo,19MF,198
199,199,52024,M,2013,Detroit,Indianapolis,19MF,199
200,200,45247,F,2013,Indianapolis,Topeka,14MF,200
201,201,184475,F,2013,Providence,Newark,19MF,201
202,202,176681,F,2013,Baltimore,Nashville,19MF,202
203,203,76391,M,2013,Providence,Newark,19MF,203
204,204,131636,F,2013,Los Angeles,Indianapolis,14MF,204
205,205,137824,F,2013,Providence,Fargo,19MF,205
