,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan
175,38446,F,2013,Birmingham,Topeka,14MF
176,8222,F,2013,New Orleans,Nashville,19MF
177,34087,F,2013,Eugene,Newark,14MF
178,182730,M,2013,Providence,Newark,19MF
179,213679,F,2013,Providence,Scranton,19MF
180,13498,F,2013,Providence,Fargo,19MF
181,49386,F,2013,New York,Nashville,19MF
182,192416,F,2013,Providence,Newark,14MF
183,200422,F,2013,New York,Detroit,19MF
184,195315,M,2013,Providence,Detroit,19MF
185,95316,F,2013,New Orleans,Charleston,14MF
186,136284,M,2013,Eugene,Topeka,19MF
187,123892,M,2013,Providence,Fargo,14MF
188,12282,M,2013,Providence,Nashville,19MF
189,22760,M,2013,Eugene,Indianapolis,19MF
190,37709,F,2013,Santa Fe,Detroit,
191,31431,F,2013,Providence,Nashville,19MF
192,105476,M,2013,New Orleans,Fargo,19MF
193,81669,M,2013,Providence,Indianapolis,19MF
194,110603,M,2013,Providence,Topeka,19MF
195,6987,F,2013,Eugene,Scranton,19MF
196,89540,M,2013,Eugene,Indianapolis,19MF
197,195049,F,2013,New Orleans,Nashville,14MF
198,172952,M,2013,Fargo,Fargo,19MF
199,52024,M,2013,Detroit,Indianapolis,19MF
200,45247,F,2013,Indianapolis,Topeka,14MF
201,184475,F,2013,Providence,Newark,19MF
202,176681,F,2013,Baltimore,Nashville,19MF
203,76391,M,2013,Providence,Newark,19MF
204,131636,F,2013,Los Angeles,Indianapolis,14MF
205,137824,F,2013,Providence,Fargo,19MF
206,143066,M,2013,Baltimore,Indianapolis,19MF
207,133122,M,2013,Eugene,Charleston,14MF
208,185925,F,2013,Boise,Fargo,19MF
209,93529,F,2013,Providence,Indianapolis,19MF
210,116129,F,2013,Atlanta,Topeka,19MF
211,99716,M,2013,Detroit,Indianapolis,19MF
212,68470,M,2013,Charleston,Newark,19MF
213,203302,F,2013,Providence,Nashville,19MF
214,166498,M,2013,Baltimore,Topeka,19MF
215,201133,M,2013,Tulsa,Newark,19MF
216,188598,M,2013,Santa Fe,Topeka,14MF
217,158171,F,2013,Tulsa,Indianapolis,19MF
218,121094,F,2013,Providence,Fargo,19MF
219,188306,M,2013,Baltimore,Detroit,14MF
220,2829,M,2013,Nashville,Nashville,19MF
221,85125,F,2013,Baltimore,Newark,19MF
222,98575,M,2013,Baltimore,Nashville,10MF
223,26450,M,2013,Eugene,Detroit,19MF
224,70242,M,2013,Detroit,Detroit,19MF
225,145047,M,2013,Providence,Scranton,19MF
226,55787,F,2013,Eugene,Fargo,19MF
227,131439,M,2013,Eugene,Detroit,19MF
228,6394,F,2013,Providence,Topeka,19MF
229,182774,F,2013,Providence,Detroit,14MF
230,61436,M,2013,Providence,Scranton,19MF
231,122350,M,2013,Eugene,Charleston,19MF
232,39010,M,2013,Baltimore,Nashville,19MF
233,56164,F,2013,Dallas,Charleston,19MF
234,22885,M,2013,Providence,Nashville,10MF
235,62097,M,2013,Hartford,Nashville,19MF
236,103665,F,2013,Eugene,Fargo,19MF
237,93431,F,2013,Providence,Detroit,10MF
238,189593,F,2013,Providence,Newark,14MF
239,136947,F,2013,Detroit,Topeka,19MF
240,101395,M,2013,New York,Fargo,19MF
241,173501,F,2013,Santa Fe,Topeka,19MF
242,125090,F,2013,Providence,Indianapolis,19MF
243,142931,M,2013,Providence,Nashville,10MF
244,137674,F,2013,New York,Indianapolis,10MF
245,144307,M,2013,Columbus,Nashville,19MF
246,103484,M,2013,Baltimore,Fargo,19MF
247,42219,F,2013,Scranton,Nashville,19MF
248,107777,M,2013,Providence,Detroit,19MF
249,108000,F,2013,Providence,Indianapolis,14MF
250,177402,F,2013,Tulsa,Detroit,19MF
251,58857,M,2013,Columbus,Nashville,19MF
252,142528,F,9999,Baltimore,,14MF
253,71751,F,9999,New Orleans,,19MF
254,73997,F,9999,New Orleans,,19MF
255,144659,M,2011,Baltimore,Indianapolis,14MF
256,99420,F,2011,New York,Nashville,10MF
257,74381,M,2011,Baltimore,Nashville,14MF
258,34712,F,2011,Baltimore,Indianapolis,19MF
259,183158,M,2011,Baltimore,Nashville,19MF
260,92233,M,2011,Baltimore,Indianapolis,19MF
261,145506,M,2011,Baltimore,Scranton,19MF
262,110214,F,2011,Columbus,Charleston,19MF
263,15417,F,2012,Providence,Newark,19MF
264,191921,F,2012,New York,Charleston,19MF
265,208390,M,2012,Providence,Detroit,14MF
266,128939,M,2012,Atlanta,Detroit,19MF
267,39867,F,2012,New York,Indianapolis,19MF
268,194761,M,2012,Providence,Fargo,19MF
269,37397,M,2012,Providence,Scranton,14MF
270,118947,F,2012,New York,Scranton,19MF
